product_name,comment_header,comment,rating
HK Vitals Biotin,Excellent,HappyREAD MORE,5
HK Vitals Biotin,Very poor,It is not work for me.. After consuming this tablets pimples are came on full of my face.. After stop this biotin tablets Pimples also reducedREAD MORE,3
HK Vitals Biotin,Horrible,"Not working, bad productREAD MORE",No rating
HK Vitals Biotin,Decent product,First time  I m trying  let  see it's  work  or noREAD MORE,No rating
HK Vitals Biotin,Horrible,Actually it seems that these type of products making us fool.READ MORE,No rating
HK Vitals Biotin,Waste of money!,Useless Product. No effect occurred. Don't buy.READ MORE,No rating
HK Vitals Biotin,Don't waste your money,Use after 2 months no effective 👎👎👎👎👎👎READ MORE,No rating
HK Vitals Biotin,Worth every penny,good productREAD MORE,5
HK Vitals Biotin,Very Good,good productREAD MORE,4
HK Vitals Biotin,Value-for-money,NiceREAD MORE,4
HK Vitals Biotin,Terrific purchase,GoodREAD MORE,5
HK Vitals Biotin,Decent product,Using since last two months.... still waiting for resultREAD MORE,3
HK Vitals Biotin,Perfect product!,Nice product and tabletREAD MORE,5
HK Vitals Biotin,Highly recommended,Best productREAD MORE,5
HK Vitals Biotin,Mind-blowing purchase,It’s helpful ❣️READ MORE,5
HK Vitals Biotin,Excellent,Amazing deals with Flipkart 😊READ MORE,5
HK Vitals Biotin,Does the job,Gud for hairfallREAD MORE,3
HK Vitals Biotin,Decent product,Not soo effective .READ MORE,3
HK Vitals Biotin,Worst experience ever!,DisgustingREAD MORE,5
HK Vitals Biotin,Absolute rubbish!,Worst the packing is not good . And you can return this product . So please don't buy from FlipkartREAD MORE,5
HK Vitals Biotin,Terrific purchase,nyc productREAD MORE,4
HK Vitals Biotin,Mind-blowing purchase,BestREAD MORE,5
HK Vitals Biotin,Wonderful,Intial impression are good will update after using moreREAD MORE,5
HK Vitals Biotin,Wonderful,Very goodREAD MORE,5
HK Vitals Biotin,Fabulous!,So far so goodREAD MORE,No rating
HK Vitals Biotin,Classy product,Good service by the delivery man.READ MORE,No rating
HK Vitals Biotin,Worthless,No effect..watste of moneyREAD MORE,No rating
HK Vitals Biotin,Really Nice,Good product in best priceREAD MORE,4
HK Vitals Biotin,Worth the money,niceREAD MORE,4
HK Vitals Biotin,Did not meet expectations,no improvement... after take this...READ MORE,5
HK Vitals Biotin,Utterly Disappointed,3 months of my dosage has been completed..... still no progress... worst productREAD MORE,No rating
HK Vitals Biotin,Wonderful,good productREAD MORE,No rating
HK Vitals Biotin,Terrible product,did not suit meREAD MORE,No rating
HK Vitals Biotin,Could be way better,I used this biotin for 2 months it's only improve the nail shiningness and it little bit work on hair growth and it's does not improve hair healthREAD MORE,No rating
HK Vitals Biotin,Slightly disappointed,It's first course so think after 3rd I will give my perfect review..My hair loss increase continuously so stopped talking. It's your choice whether you buy on not.READ MORE,No rating
HK Vitals Biotin,Very poor,I see no effect! It's been 56 daysREAD MORE,No rating
HK Vitals Biotin,Waste of money!,"This supplement is worst I have ever seen.... increase my hair fall, digestive problems,skin problems, body pain, stomach pain occurred...... there is no good results in my bodyREAD MORE",No rating
HK Vitals Biotin,Wonderful,Its been a month Im using this product. Still hairfall hasnt stopped much but Dandruff has reduced. Im going to continue the product for some more time to know if this can reduce my hairfall too.READ MORE,4
HK Vitals Biotin,Expected a better product,No work this tablets I am used 2 monthREAD MORE,4
HK Vitals Biotin,Useless product,Don't buy this if u are concern about hairfall. After consuming this for 3 days... My hairfall increased 10 times. Now looking for a doctor to stop shedding.READ MORE,5
HK Vitals Biotin,Worthless,I m taking this  from past 20 days my hairs are same no improvement in hairfallREAD MORE,No rating
HK Vitals Biotin,Value-for-money,Delivery boy is really good and well behavedREAD MORE,No rating
HK Vitals Biotin,Worst experience ever!,After used 1 mnth them i give review on this productsThis is disgusting and too poor results 😞😞Plz to take this on doctor's ConsultationREAD MORE,No rating
HK Vitals Biotin,Bad quality,It's been a month still waiting for result. Not recommended at allREAD MORE,No rating
HK Vitals Biotin,Fabulous!,Got the product timely and well packedCan tell about Results after useREAD MORE,No rating
HK Vitals Biotin,Don't waste your money,Very bad deal because send only 15 tab so very sad your parfor manseREAD MORE,No rating
HK Vitals Biotin,Unsatisfactory,No benefits showing yet.Not even a slightREAD MORE,No rating
HK Vitals Biotin,Just wow!,Super after using this my hair 99 % reducedLoved this productYou should definitely try if you have hair fallREAD MORE,5
HK Vitals Biotin,Must buy!,Good ResultsREAD MORE,5
HK Vitals Biotin,Best in the market!,Genuine Product delivered on timeREAD MORE,5
HK Vitals Biotin,Brilliant,Very niceREAD MORE,5
HK Vitals Biotin,Value-for-money,Really good 👍READ MORE,4
HK Vitals Biotin,Worthless,it's not working properlyREAD MORE,5
HK Vitals Biotin,Excellent,Hair grow work 😂READ MORE,5
HK Vitals Biotin,Super!,My hair fall has been reduced though it has been only 14 days. I vll update again after 1 month.READ MORE,4
HK Vitals Biotin,Very Good,its a good productREAD MORE,5
HK Vitals Biotin,Awesome,. really hear grow ..not saydefackREAD MORE,No rating
HK Vitals Biotin,Does the job,Very Bad quality. Not work properly.READ MORE,3
HK Vitals Biotin,Perfect product!,NiceREAD MORE,5
HK Vitals Biotin,Value-for-money,GoodREAD MORE,4
HK Vitals Biotin,Excellent,Amazing product for hairREAD MORE,5
HK Vitals Biotin,Good choice,NiceREAD MORE,4
HK Vitals Biotin,Mind-blowing purchase,Good niceREAD MORE,5
HK Vitals Biotin,Mind-blowing purchase,Budget friendly and deserve 5 star ratingREAD MORE,5
HK Vitals Biotin,Excellent,Osam mera hairfall ruk gya thanku hk vitalsREAD MORE,5
HK Vitals Biotin,Absolute rubbish!,Worst productREAD MORE,4
HK Vitals Biotin,Pretty good,Best productREAD MORE,No rating
HK Vitals Biotin,Just wow!,Awesome work 👏READ MORE,5
HK Vitals Biotin,Don't waste your money,Very bad 😞 productREAD MORE,3
HK Vitals Biotin,Horrible,Worst product only 30tablets were there in the bottleREAD MORE,5
HK Vitals Biotin,Decent product,Good biotinREAD MORE,3
HK Vitals Biotin,Highly recommended,Good ProductREAD MORE,5
HK Vitals Biotin,Waste of money!,Used but didn't notice any difference... Waste for money to meREAD MORE,5
HK Vitals Biotin,Decent product,Good for healthREAD MORE,No rating
HK Vitals Biotin,Horrible,Money wasteREAD MORE,No rating
HK Vitals Biotin,Classy product,GoodREAD MORE,No rating
HK Vitals Biotin,Fabulous!,Wow awesome results boitin tab i have seen my is very strong and hair fall stopREAD MORE,No rating
HK Vitals Biotin,Did not meet expectations,No worthfullREAD MORE,4
HK Vitals Biotin,Did not meet expectations,Awful product no result after 6 month use dont buy this productREAD MORE,5
HK Vitals Biotin,Really Nice,Good productREAD MORE,5
HK Vitals Biotin,Terrible product,Poor Quality product which comes with a weird sponge inside (Why ??)READ MORE,5
HK Vitals Biotin,Excellent,Excellent  product  I had using for past 3 months.READ MORE,5
HK Vitals Biotin,Simply awesome,It's working must try itREAD MORE,5
HK Vitals Biotin,Terrific purchase,GoodREAD MORE,No rating
HK Vitals Biotin,Brilliant,EXCELLENTREAD MORE,No rating
HK Vitals Biotin,Waste of money!,It not work as it promisesREAD MORE,No rating
HK Vitals Biotin,Just wow!,Super 💯 worthREAD MORE,No rating
HK Vitals Biotin,Fair,GoodREAD MORE,3
HK Vitals Biotin,Decent product,Not given better results as per given.READ MORE,3
HK Vitals Biotin,Slightly disappointed,Not seen pay positive signREAD MORE,5
HK Vitals Biotin,Excellent,Good productREAD MORE,4
HK Vitals Biotin,Nice product,Good work for your hairREAD MORE,5
HK Vitals Biotin,Terrific purchase,AwesomeREAD MORE,4
HK Vitals Biotin,Pretty good,Good productREAD MORE,3
HK Vitals Biotin,Does the job,Nice productREAD MORE,3
HK Vitals Biotin,Good,Good according to priceREAD MORE,No rating
HK Vitals Biotin,Did not meet expectations,It does not show any effect or change totally wasteage of moneyREAD MORE,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
HK Vitals Biotin,No header,No comment,No rating
MUSCLEBLAZE Creatine,Value-for-money,nice product u should go for it💪READ MORE,4
MUSCLEBLAZE Creatine,Best in the market!,Superb product. Gives you lots of energy and strength. Excellent and Original.READ MORE,5
MUSCLEBLAZE Creatine,Highly recommended,Break Our Own Limits....READ MORE,5
MUSCLEBLAZE Creatine,Fabulous!,"1st user of a creatine supplement.  I totally loved it. After taking it for 1 week,  changes occurs.  I lifted more than i do.  It is unflavoured so tastes nothing when mixed with water.  Not for beginners.  I started this supplement after 5 months of my workout.  Its working.  No miracle changes.Changes occurs only if you are having a proper diet and proper workout.  It optimeses your fitnesss journey. Thank you💓READ MORE",5
MUSCLEBLAZE Creatine,Simply awesome,best and authentic product .good packaging and original product.simply go for it ........READ MORE,5
MUSCLEBLAZE Creatine,Classy product,💯% originalREAD MORE,5
MUSCLEBLAZE Creatine,Value-for-money,"I have used other brands. But i am happy with this product becouse MascleBlaze does really good effect instantly. If you maintain proper diet, you can see result in 2-3 days. I recommend to every professional sports person,  if you  want to use this product add some protien and water on your diet. Unless you can't any improve on your body. Thank YouREAD MORE",4
MUSCLEBLAZE Creatine,Wonderful,"Best product:I have received delivery in time.After consumption of muscleblaze creatine my daily food intake has increased. With proper workout my muscles grown and shaped considerably. Even i have gain weight. I feel it works for me and i suggest that those aspire to become fit with strong muscles, please buy Muscleblaze creatine. It really works effectively. One important note: during intake of creatine please drink 3-5 litre of water daily. It helps to grow muscles.Finally, thanks to ...READ MORE",4
MUSCLEBLAZE Creatine,Great product,"nice product , heavy effective product delivery too fast thank you Flipkart.READ MORE",5
MUSCLEBLAZE Creatine,Wonderful,"Today i recieved this , 12/05/23 ,I am skinny guy having 50kg, 172 cm age 23 .I am started to using it from now . I will update after one month .... Hope it will give best results ...READ MORE",4
MUSCLEBLAZE Creatine,Delightful,Nice...READ MORE,4
MUSCLEBLAZE Creatine,Delightful,muscleblaze creatine monohydrate is the best creatine supplement 3gm per serving 1) mixability vry good2) monohydrate3) per serving 3gmlREAD MORE,4
MUSCLEBLAZE Creatine,Three Stars,loading phase is dumb....its a marketing stratgy for selling fast....take 5g every day whenever you want...thats itREAD MORE,3
MUSCLEBLAZE Creatine,Good choice,"this is my first product of MB,Amazing i loveing it😘😘😘READ MORE",4
MUSCLEBLAZE Creatine,Super!,Excellent...Package..Originally Approved Product by muscle blaze..5 min before workout r after workoi.ut with in 5 min.for a week one spoon we can divide it before and after work out..there after 3 grms..that also we can divide befor and after workout..water is d good source to mix it..3 to 5 litres of water must a day or on day we exercises .READ MORE,5
MUSCLEBLAZE Creatine,Perfect product!,Amazing product. Got berore delivery promise date. Fast delivery thums up for flipkart. Genuine product as displayed got in good primary packaging. Guys don't think twice go for this its a genuine productREAD MORE,5
MUSCLEBLAZE Creatine,Classy product,Its good creatine supplement at a good price... Regular use along with good diet gives proper results..READ MORE,5
MUSCLEBLAZE Creatine,Brilliant,Amazing product from FlipkartREAD MORE,5
MUSCLEBLAZE Creatine,Terrific,Got genuine product. Mixability is 👌. Taste is not good as it is unflavoured but it doesn't matter as no trusted brand creatine in market comes flavoured at this cost.READ MORE,5
MUSCLEBLAZE Creatine,Terrific,"good packing ,delivered before timeREAD MORE",5
MUSCLEBLAZE Creatine,Terrific purchase,Ordering again :). Really happy n satisfied with this product. It gave me much more strength in all my workouts. Dnt knw abt others. Bt it workd really well for me... five star frm ma side.READ MORE,5
MUSCLEBLAZE Creatine,Good choice,Guys Im reviewing this product after two months of uses. At that time when I purchased it my weight was 55-56KG and then I thought I need to maintain my health weightwise so I used it regularly with the milk and adding creatine powder (5gms ) in it. And believe me i got results in 45 days. Now my weight is 62-63kgs. And guys  after Gaining your desired weight dont leave this product suddenly. Maintain your diet take more input energy than your output energy. Take higher rich protein food like...READ MORE,4
MUSCLEBLAZE Creatine,Just wow!,it's good product and unflavourREAD MORE,5
MUSCLEBLAZE Creatine,Super!,Product  is nice...  Good communication  from the  delivery  boyREAD MORE,5
MUSCLEBLAZE Creatine,Mind-blowing purchase,"Genuine review after using one month ,It gives power and endurance in weight lifting also you'll feel improvement in stamina take 3g/day regularly preworkout also add protein or mass gainer with it on daily  bases I assure you guys get good result.Thanks Flipkart for delivering genuine product.READ MORE",5
MUSCLEBLAZE Creatine,Value-for-money,"I am a regular workout person since 3 years when I am entering into a body show competition my weight was 58 kg I eat so much to increase my weight above 60 to participate in 60-65kg category, but I was failed to increase my weight. I am using this creatine for 2 months my weight increase from 58 to 64 . It is very effective product for increase my weight and stamina  for good result and better workout.  I recommend this creatine for all users but you must drink at least 3 or 5 litres of wate...READ MORE",4
MUSCLEBLAZE Creatine,Awesome,very good qualityREAD MORE,5
MUSCLEBLAZE Creatine,Best in the market!,Superb delivery by Flipkart....Got this for Rs.385... Got 1 day early than estimated date... Good and affordable suppliment...don't know about the results because I am using this for first time....READ MORE,5
MUSCLEBLAZE Creatine,Very Good,best ever but while using it you have to drink atleast 4 ltrs water a day i take 3 grm of it befor my workout nd half scoop of it after workout with my protein shake  good thing is that it is in my bugedt  nd works good for meREAD MORE,4
MUSCLEBLAZE Creatine,Classy product,Very nice experience with flipkart.It was actually my first time with flipkart and really pleased with the quality of the product i received.It was an original product and i am completely satisfied with it.Cheers!!!!!....READ MORE,5
MUSCLEBLAZE Creatine,Just wow!,"Worth it people and it shows results. It's been 10 days i am using this and i can certainly feel the difference in my performance. Rest you can check my instagram profile for more details, lovemehtaaREAD MORE",5
MUSCLEBLAZE Creatine,Classy product,it's original products guys.READ MORE,5
MUSCLEBLAZE Creatine,Perfect product!,Best creatine monohydrate I suggest to buy this product.this is very nice product.flipkart delivery this product very fast I love it Flipkart thank you 😍♥️READ MORE,5
MUSCLEBLAZE Creatine,Fabulous!,this product is very useful 💪READ MORE,5
MUSCLEBLAZE Creatine,Perfect product!,I was lifting 40 kg bench press alone ..And now 60 kg after 8 days ...alone Increased my weight ....got bulk ..lean bulkREAD MORE,5
MUSCLEBLAZE Creatine,Worth every penny,hello this is a creatine monohydrate  by Muscleblaze and comes with 100 and 250  gm variantwith a scoop is provided intake only 1 scoop per day at same time not different time same time all day I bought 100 gm because I already have 250 gm bottle is left it is genuine product a number with code has been give to search the authentication of the productLike the review please if like it Abraaz AhmadREAD MORE,5
MUSCLEBLAZE Creatine,Classy product,"This product works good on ur body u feel more energetic.but one should read about pro and cons of Creatine properly before taking it. also drink water more than u normally take, 4-5 liters is must. it is not only good for athletic or body building but also for normal day to day life style also.READ MORE",5
MUSCLEBLAZE Creatine,Very Good,nic productREAD MORE,4
MUSCLEBLAZE Creatine,Fabulous!,This is excellent effect product you all bro plz first read instructions how to use and plz you have habit to bring daily 2 - 3 litres of water you don't have habit to drink water 2 - 3 litres plz don't take this product and I recommend for all y brother 18+ and this formula to fast muscle growth and you'll my brother take this product 2 - 3 month and gal 1 month than take 2 - 3 month than gap 1 month thank you musclblaze thank you flipkartREAD MORE,5
MUSCLEBLAZE Creatine,Perfect product!,I m gym trainer.. Per day Use this creatineResponse is good energy. Power. Effects Body lean mass ! & muscular body Use it 300 ml water mix. Helthoxide glucose 30gm.. Mix 3to5 GM  MB creatine Results goodREAD MORE,5
MUSCLEBLAZE Creatine,Very Good,"Great product, if  you want to get lean and powerful at the same time creatine is the answer. Muscleblaze has done a good job in  this product, less fat and more endurance that is the USP of this product, go for it...READ MORE",4
